chown: cannot access `/state/partition1/scratch/pbstmp.385842.rocks.hpc.ntnu.no': No such file or directory
chown: cannot access `/state/partition1/scratch/pbstmp.385842.rocks.hpc.ntnu.no': No such file or directory
p: 1
time: 443.835020ms
error: 2.94568e-07


n: 4096
time: 1781.341076ms
error: 7.35881e-08


n: 8192
time: 7226.765156ms
error: 1.83903e-08


n: 16384
time: 31708.268881ms
error: 4.59673e-09


t: 12
n: 16
time: 40.523052ms
error: 0.00565282


n: 32
time: 47.487020ms
error: 0.00131357


n: 64
time: 26.763916ms
error: 0.000315062


n: 128
time: 37.770033ms
error: 7.70483e-05


n: 256
time: 52.974939ms
error: 1.90444e-05


n: 512
time: 60.631990ms
error: 4.73371e-06


n: 1024
time: 130.403996ms
error: 1.17999e-06


n: 2048
time: 446.147919ms
error: 2.94568e-07


n: 4096
time: 1754.247904ms
error: 7.35881e-08


n: 8192
time: 6998.605013ms
error: 1.83903e-08


n: 16384
time: 30452.497005ms
error: 4.59673e-09


t: 13
n: 16
time: 203.358889ms
error: 0.00565282


n: 32
time: 206.803083ms
error: 0.00131357


n: 64
time: 203.551054ms
error: 0.000315062


n: 128
time: 206.703901ms
error: 7.70483e-05


n: 256
time: 209.187031ms
error: 1.90444e-05


n: 512
time: 231.600046ms
error: 4.73371e-06


n: 1024
time: 324.445009ms
error: 1.17999e-06


n: 2048
time: 745.344877ms
error: 2.94568e-07


n: 4096
time: 2476.242065ms
error: 7.35881e-08


n: 8192
time: 8980.973959ms
error: 1.83903e-08


n: 16384
time: 36851.851940ms
error: 4.59673e-09


t: 14
n: 16
time: 203.543901ms
error: 0.00565282


n: 32
time: 203.355789ms
error: 0.00131357


n: 64
time: 204.676867ms
error: 0.000315062


n: 128
time: 205.569029ms
error: 7.70483e-05


n: 256
time: 222.985983ms
error: 1.90444e-05


n: 512
time: 231.263876ms
error: 4.73371e-06


n: 1024
time: 315.625906ms
error: 1.17999e-06


n: 2048
time: 704.106092ms
error: 2.94568e-07


n: 4096
time: 2458.589077ms
error: 7.35881e-08


n: 8192
time: 9373.348951ms
error: 1.83903e-08


n: 16384
time: 36148.944855ms
error: 4.59673e-09


t: 15
n: 16
time: 203.502893ms
error: 0.00565282


n: 32
time: 204.451084ms
error: 0.00131357


n: 64
time: 204.470873ms
error: 0.000315062


n: 128
time: 206.737995ms
error: 7.70483e-05


n: 256
time: 210.309982ms
error: 1.90444e-05


n: 512
time: 230.155945ms
error: 4.73371e-06


n: 1024
time: 312.543154ms
error: 1.17999e-06


n: 2048
time: 719.722986ms
error: 2.94568e-07


n: 4096
time: 2338.571787ms
error: 7.35881e-08


n: 8192
time: 8990.913153ms
error: 1.83903e-08


n: 16384
time: 34770.777941ms
error: 4.59673e-09


t: 16
n: 16
time: 203.253031ms
error: 0.00565282


n: 32
time: 205.332994ms
error: 0.00131357


n: 64
time: 204.732895ms
error: 0.000315062


n: 128
time: 206.311941ms
error: 7.70483e-05


n: 256
time: 210.177898ms
error: 1.90444e-05


n: 512
time: 234.652042ms
error: 4.73371e-06


n: 1024
time: 306.426048ms
error: 1.17999e-06


n: 2048
time: 695.435047ms
error: 2.94568e-07


n: 4096
time: 2293.378830ms
error: 7.35881e-08


n: 8192
time: 8589.014053ms
error: 1.83903e-08


n: 16384
time: 34527.251959ms
error: 4.59673e-09


t: 17
n: 16
time: 203.149796ms
error: 0.00565282


n: 32
time: 204.198837ms
error: 0.00131357


n: 64
time: 205.399990ms
error: 0.000315062


n: 128
time: 206.151009ms
error: 7.70483e-05


n: 256
time: 210.391998ms
error: 1.90444e-05


n: 512
time: 230.715990ms
error: 4.73371e-06


n: 1024
time: 320.484161ms
error: 1.17999e-06


n: 2048
time: 707.016945ms
error: 2.94568e-07


n: 4096
time: 2388.504028ms
error: 7.35881e-08


n: 8192
time: 8662.937880ms
error: 1.83903e-08


n: 16384
time: 33852.048874ms
error: 4.59673e-09


t: 18
n: 16
time: 203.574181ms
error: 0.00565282


n: 32
time: 204.104900ms
error: 0.00131357


n: 64
time: 204.703093ms
error: 0.000315062


n: 128
time: 205.029964ms
error: 7.70483e-05


n: 256
time: 210.569143ms
error: 1.90444e-05


n: 512
time: 233.247042ms
error: 4.73371e-06


n: 1024
time: 309.314966ms
error: 1.17999e-06


n: 2048
time: 711.907864ms
error: 2.94568e-07


n: 4096
time: 2311.176062ms
error: 7.35881e-08


n: 8192
time: 8341.054916ms
error: 1.83903e-08


n: 16384
time: 33906.600952ms
error: 4.59673e-09


t: 19
n: 16
time: 203.455925ms
error: 0.00565282


n: 32
time: 204.349041ms
error: 0.00131357


n: 64
time: 205.520868ms
error: 0.000315062


n: 128
time: 206.552029ms
error: 7.70483e-05


n: 256
time: 211.080074ms
error: 1.90444e-05


n: 512
time: 229.727030ms
error: 4.73371e-06


n: 1024
time: 306.753874ms
error: 1.17999e-06


n: 2048
time: 694.157124ms
error: 2.94568e-07


n: 4096
time: 2211.024046ms
error: 7.35881e-08


n: 8192
time: 8101.181030ms
error: 1.83903e-08


n: 16384
time: 33724.079847ms
error: 4.59673e-09


t: 20
n: 16
time: 241.812944ms
error: 0.00565282


n: 32
time: 204.156876ms
error: 0.00131357


n: 64
time: 205.565929ms
error: 0.000315062


n: 128
time: 206.155062ms
error: 7.70483e-05


n: 256
time: 209.397078ms
error: 1.90444e-05


n: 512
time: 231.426001ms
error: 4.73371e-06


n: 1024
time: 313.449860ms
error: 1.17999e-06


n: 2048
time: 661.942959ms
error: 2.94568e-07


n: 4096
time: 2272.204876ms
error: 7.35881e-08


n: 8192
time: 8114.004135ms
error: 1.83903e-08


n: 16384
time: 33280.962229ms
error: 4.59673e-09


t: 21
n: 16
time: 203.528881ms
error: 0.00565282


n: 32
time: 210.421085ms
error: 0.00131357


n: 64
time: 204.241037ms
error: 0.000315062


n: 128
time: 206.027031ms
error: 7.70483e-05


n: 256
time: 216.461182ms
error: 1.90444e-05


n: 512
time: 234.151840ms
error: 4.73371e-06


n: 1024
time: 320.800066ms
error: 1.17999e-06


n: 2048
time: 712.555885ms
error: 2.94568e-07


n: 4096
time: 2378.573895ms
error: 7.35881e-08


n: 8192
time: 8234.175920ms
error: 1.83903e-08


n: 16384
time: 32664.747000ms
error: 4.59673e-09


t: 22
n: 16
time: 203.656912ms
error: 0.00565282


n: 32
time: 203.187943ms
error: 0.00131357


n: 64
time: 204.100132ms
error: 0.000315062


n: 128
time: 206.211090ms
error: 7.70483e-05


n: 256
time: 209.720850ms
error: 1.90444e-05


n: 512
time: 229.304075ms
error: 4.73371e-06


n: 1024
time: 322.682858ms
error: 1.17999e-06


n: 2048
time: 807.554007ms
error: 2.94568e-07


n: 4096
time: 2421.787024ms
error: 7.35881e-08


n: 8192
time: 8000.725031ms
error: 1.83903e-08


n: 16384
time: 33169.649839ms
error: 4.59673e-09


t: 23
n: 16
time: 203.346968ms
error: 0.00565282


n: 32
time: 203.503847ms
error: 0.00131357


n: 64
time: 205.827951ms
error: 0.000315062


n: 128
time: 207.259178ms
error: 7.70483e-05


n: 256
time: 209.811926ms
error: 1.90444e-05


n: 512
time: 228.719950ms
error: 4.73371e-06


n: 1024
time: 329.260111ms
error: 1.17999e-06


n: 2048
time: 737.846136ms
error: 2.94568e-07


n: 4096
time: 2326.324940ms
error: 7.35881e-08


n: 8192
time: 8134.742975ms
error: 1.83903e-08


n: 16384
time: 32560.756922ms
error: 4.59673e-09


t: 24
n: 16
time: 203.613997ms
error: 0.00565282


n: 32
time: 204.178095ms
error: 0.00131357


n: 64
time: 204.810143ms
error: 0.000315062


n: 128
time: 206.160784ms
error: 7.70483e-05


n: 256
time: 210.456848ms
error: 1.90444e-05


n: 512
time: 232.295036ms
error: 4.73371e-06


n: 1024
time: 318.835020ms
error: 1.17999e-06


n: 2048
time: 722.062826ms
error: 2.94568e-07


n: 4096
time: 2211.208105ms
error: 7.35881e-08


n: 8192
time: 8248.668909ms
error: 1.83903e-08


n: 16384
time: 32299.114943ms
error: 4.59673e-09


t: 25
n: 16
time: 203.814030ms
error: 0.00565282


n: 32
time: 204.117060ms
error: 0.00131357


n: 64
time: 205.172062ms
error: 0.000315062


n: 128
time: 206.686974ms
error: 7.70483e-05


n: 256
time: 209.651947ms
error: 1.90444e-05


n: 512
time: 232.290983ms
error: 4.73371e-06


n: 1024
time: 309.775114ms
error: 1.17999e-06


n: 2048
time: 685.098886ms
error: 2.94568e-07


n: 4096
time: 2344.200134ms
error: 7.35881e-08


n: 8192
time: 8358.406067ms
error: 1.83903e-08


n: 16384
time: 34157.617092ms
error: 4.59673e-09


t: 26
n: 16
time: 205.049038ms
error: 0.00565282


n: 32
time: 204.463959ms
error: 0.00131357


n: 64
time: 204.702139ms
error: 0.000315062


n: 128
time: 207.434893ms
error: 7.70483e-05


n: 256
time: 209.495068ms
error: 1.90444e-05


n: 512
time: 233.195066ms
error: 4.73371e-06


n: 1024
time: 307.845116ms
error: 1.17999e-06


n: 2048
time: 703.308105ms
error: 2.94568e-07


n: 4096
time: 2330.744028ms
error: 7.35881e-08


n: 8192
time: 8217.923880ms
error: 1.83903e-08


n: 16384
time: 33809.653997ms
error: 4.59673e-09


t: 27
n: 16
time: 206.822872ms
error: 0.00565282


n: 32
time: 204.379082ms
error: 0.00131357


n: 64
time: 204.499960ms
error: 0.000315062


n: 128
time: 206.314802ms
error: 7.70483e-05


n: 256
time: 210.753918ms
error: 1.90444e-05


n: 512
time: 232.609034ms
error: 4.73371e-06


n: 1024
time: 316.333055ms
error: 1.17999e-06


n: 2048
time: 663.600922ms
error: 2.94568e-07


n: 4096
time: 2189.470053ms
error: 7.35881e-08


n: 8192
time: 8508.673906ms
error: 1.83903e-08


n: 16384
time: 33891.297817ms
error: 4.59673e-09


t: 28
n: 16
time: 203.124046ms
error: 0.00565282


n: 32
time: 204.158068ms
error: 0.00131357


n: 64
time: 204.368114ms
error: 0.000315062


n: 128
time: 206.070900ms
error: 7.70483e-05


n: 256
time: 212.053061ms
error: 1.90444e-05


n: 512
time: 233.086109ms
error: 4.73371e-06


n: 1024
time: 306.555986ms
error: 1.17999e-06


n: 2048
time: 677.818060ms
error: 2.94568e-07


n: 4096
time: 2302.669048ms
error: 7.35881e-08


n: 8192
time: 8319.321156ms
error: 1.83903e-08


n: 16384
time: 33613.709927ms
error: 4.59673e-09


t: 29
n: 16
time: 203.502893ms
error: 0.00565282


n: 32
time: 204.472065ms
error: 0.00131357


n: 64
time: 204.993010ms
error: 0.000315062


n: 128
time: 205.872059ms
error: 7.70483e-05


n: 256
time: 210.085869ms
error: 1.90444e-05


n: 512
time: 231.595993ms
error: 4.73371e-06


n: 1024
time: 316.154957ms
error: 1.17999e-06


n: 2048
time: 716.109991ms
error: 2.94568e-07


n: 4096
time: 2338.772058ms
error: 7.35881e-08


n: 8192
time: 8421.920061ms
error: 1.83903e-08


n: 16384
time: 34239.887953ms
error: 4.59673e-09


t: 30
n: 16
time: 203.701973ms
error: 0.00565282


n: 32
time: 204.697132ms
error: 0.00131357


n: 64
time: 205.008984ms
error: 0.000315062


n: 128
time: 206.062078ms
error: 7.70483e-05


n: 256
time: 210.878849ms
error: 1.90444e-05


n: 512
time: 234.657049ms
error: 4.73371e-06


n: 1024
time: 329.374790ms
error: 1.17999e-06


n: 2048
time: 747.618198ms
error: 2.94568e-07


n: 4096
time: 2352.715969ms
error: 7.35881e-08


n: 8192
time: 8179.970980ms
error: 1.83903e-08


n: 16384
time: 33189.738989ms
error: 4.59673e-09


t: 31
n: 16
time: 203.588009ms
error: 0.00565282


n: 32
time: 203.621149ms
error: 0.00131357


n: 64
time: 206.168890ms
error: 0.000315062


n: 128
time: 206.270933ms
error: 7.70483e-05


n: 256
time: 210.789919ms
error: 1.90444e-05


n: 512
time: 233.929157ms
error: 4.73371e-06


n: 1024
time: 302.940130ms
error: 1.17999e-06


n: 2048
time: 711.580038ms
error: 2.94568e-07


n: 4096
time: 2353.577852ms
error: 7.35881e-08


n: 8192
time: 8131.636143ms
error: 1.83903e-08


n: 16384
time: 33240.418196ms
error: 4.59673e-09


t: 32
n: 16
time: 203.446150ms
error: 0.00565282


n: 32
time: 203.898907ms
error: 0.00131357


n: 64
time: 205.806017ms
error: 0.000315062


n: 128
time: 206.165075ms
error: 7.70483e-05


n: 256
time: 213.275909ms
error: 1.90444e-05


n: 512
time: 231.744051ms
error: 4.73371e-06


n: 1024
time: 320.811987ms
error: 1.17999e-06


n: 2048
time: 736.300945ms
error: 2.94568e-07


n: 4096
time: 2331.521988ms
error: 7.35881e-08


n: 8192
time: 8088.424921ms
error: 1.83903e-08


n: 16384
time: 33517.174959ms
error: 4.59673e-09


t: 33
n: 16
time: 210.911036ms
error: 0.00565282


n: 32
time: 204.596043ms
error: 0.00131357


n: 64
time: 203.943968ms
error: 0.000315062


n: 128
time: 213.050127ms
error: 7.70483e-05


n: 256
time: 210.992813ms
error: 1.90444e-05


n: 512
time: 234.487057ms
error: 4.73371e-06


n: 1024
time: 313.910961ms
error: 1.17999e-06


n: 2048
time: 674.236059ms
error: 2.94568e-07


n: 4096
time: 2337.451935ms
error: 7.35881e-08


n: 8192
time: 8168.369055ms
error: 1.83903e-08


n: 16384
time: 32822.100878ms
error: 4.59673e-09


t: 34
n: 16
time: 203.768015ms
error: 0.00565282


n: 32
time: 204.257965ms
error: 0.00131357


n: 64
time: 205.779076ms
error: 0.000315062


n: 128
time: 205.976963ms
error: 7.70483e-05


n: 256
time: 210.618973ms
error: 1.90444e-05


n: 512
time: 236.180067ms
error: 4.73371e-06


n: 1024
time: 318.300009ms
error: 1.17999e-06


n: 2048
time: 693.503141ms
error: 2.94568e-07


n: 4096
time: 2269.514084ms
error: 7.35881e-08


n: 8192
time: 8266.031981ms
error: 1.83903e-08


n: 16384
time: 33316.148043ms
error: 4.59673e-09


t: 35
n: 16
time: 203.802109ms
error: 0.00565282


n: 32
time: 207.920074ms
error: 0.00131357


n: 64
time: 204.387903ms
error: 0.000315062


n: 128
time: 206.017971ms
error: 7.70483e-05


n: 256
time: 209.597111ms
error: 1.90444e-05


n: 512
time: 232.431889ms
error: 4.73371e-06


n: 1024
time: 323.590994ms
error: 1.17999e-06


n: 2048
time: 688.169956ms
error: 2.94568e-07


n: 4096
time: 2335.900068ms
error: 7.35881e-08


n: 8192
time: 8195.106030ms
error: 1.83903e-08


n: 16384
time: 33066.992044ms
error: 4.59673e-09


t: 36
n: 16
time: 203.809977ms
error: 0.00565282


n: 32
time: 203.962088ms
error: 0.00131357


n: 64
time: 205.790997ms
error: 0.000315062


n: 128
time: 212.327003ms
error: 7.70483e-05


n: 256
time: 215.109110ms
error: 1.90444e-05


n: 512
time: 234.992981ms
error: 4.73371e-06


n: 1024
time: 320.660114ms
error: 1.17999e-06


n: 2048
time: 743.640900ms
error: 2.94568e-07


n: 4096
time: 2307.904959ms
error: 7.35881e-08


n: 8192
time: 8231.108904ms
error: 1.83903e-08


n: 16384
time: 33412.186146ms
error: 4.59673e-09


t: 37
n: 16
time: 203.274965ms
error: 0.00565282


n: 32
time: 204.731941ms
error: 0.00131357


n: 64
time: 205.176115ms
error: 0.000315062


n: 128
time: 206.828117ms
error: 7.70483e-05


n: 256
time: 212.502003ms
error: 1.90444e-05


n: 512
time: 233.612061ms
error: 4.73371e-06


n: 1024
time: 331.268072ms
error: 1.17999e-06


n: 2048
time: 710.956812ms
error: 2.94568e-07


n: 4096
time: 2396.543980ms
error: 7.35881e-08


n: 8192
time: 8259.024143ms
error: 1.83903e-08


n: 16384
time: 33639.421940ms
error: 4.59673e-09


t: 38
n: 16
time: 203.621149ms
error: 0.00565282


n: 32
time: 204.446077ms
error: 0.00131357


n: 64
time: 204.361200ms
error: 0.000315062


n: 128
time: 209.637880ms
error: 7.70483e-05


n: 256
time: 212.686062ms
error: 1.90444e-05


n: 512
time: 234.616995ms
error: 4.73371e-06


n: 1024
time: 316.748857ms
error: 1.17999e-06


n: 2048
time: 770.626068ms
error: 2.94568e-07


n: 4096
time: 2347.574949ms
error: 7.35881e-08


n: 8192
time: 8469.599962ms
error: 1.83903e-08


n: 16384
time: 33724.448919ms
error: 4.59673e-09


t: 39
n: 16
time: 203.669071ms
error: 0.00565282


n: 32
time: 204.210997ms
error: 0.00131357


n: 64
time: 204.653978ms
error: 0.000315062


n: 128
time: 209.167004ms
error: 7.70483e-05


n: 256
time: 214.403868ms
error: 1.90444e-05


n: 512
time: 234.748125ms
error: 4.73371e-06


n: 1024
time: 307.298899ms
error: 1.17999e-06


n: 2048
time: 709.087133ms
error: 2.94568e-07


n: 4096
time: 2345.458984ms
error: 7.35881e-08


n: 8192
time: 8216.173887ms
error: 1.83903e-08


n: 16384
time: 33181.917906ms
error: 4.59673e-09


t: 40
n: 16
time: 204.346180ms
error: 0.00565282


n: 32
time: 204.504967ms
error: 0.00131357


n: 64
time: 204.506874ms
error: 0.000315062


n: 128
time: 209.426880ms
error: 7.70483e-05


n: 256
time: 213.653803ms
error: 1.90444e-05


n: 512
time: 237.630129ms
error: 4.73371e-06


n: 1024
time: 325.186968ms
error: 1.17999e-06


n: 2048
time: 659.487963ms
error: 2.94568e-07


n: 4096
time: 2285.464048ms
error: 7.35881e-08


n: 8192
time: 8220.725060ms
error: 1.83903e-08


n: 16384
time: 34258.009911ms
error: 4.59673e-09


t: 41
n: 16
time: 203.652143ms
error: 0.00565282


n: 32
time: 205.202103ms
error: 0.00131357


n: 64
time: 204.402924ms
error: 0.000315062


n: 128
time: 206.569910ms
error: 7.70483e-05


n: 256
time: 216.332912ms
error: 1.90444e-05


n: 512
time: 234.630823ms
error: 4.73371e-06


n: 1024
time: 323.558807ms
error: 1.17999e-06


n: 2048
time: 707.777023ms
error: 2.94568e-07


n: 4096
time: 2537.210941ms
error: 7.35881e-08


n: 8192
time: 8119.735956ms
error: 1.83903e-08


n: 16384
time: 33014.580965ms
error: 4.59673e-09


t: 42
n: 16
time: 203.637838ms
error: 0.00565282


n: 32
time: 203.617096ms
error: 0.00131357


n: 64
time: 210.701942ms
error: 0.000315062


n: 128
time: 207.269907ms
error: 7.70483e-05


n: 256
time: 212.435961ms
error: 1.90444e-05


n: 512
time: 233.021021ms
error: 4.73371e-06


n: 1024
time: 333.261013ms
error: 1.17999e-06


n: 2048
time: 663.019896ms
error: 2.94568e-07


n: 4096
time: 2273.000956ms
error: 7.35881e-08


n: 8192
time: 8038.177967ms
error: 1.83903e-08


n: 16384
time: 32637.671947ms
error: 4.59673e-09


t: 43
n: 16
time: 203.668118ms
error: 0.00565282


n: 32
time: 203.870058ms
error: 0.00131357


n: 64
time: 205.385208ms
error: 0.000315062


n: 128
time: 205.808163ms
error: 7.70483e-05


n: 256
time: 211.166859ms
error: 1.90444e-05


n: 512
time: 230.288982ms
error: 4.73371e-06


n: 1024
time: 303.040981ms
error: 1.17999e-06


n: 2048
time: 741.880894ms
error: 2.94568e-07


n: 4096
time: 2534.518957ms
error: 7.35881e-08


n: 8192
time: 8201.573133ms
error: 1.83903e-08


n: 16384
time: 33436.223030ms
error: 4.59673e-09


t: 44
n: 16
time: 206.995010ms
error: 0.00565282


n: 32
time: 203.361034ms
error: 0.00131357


n: 64
time: 206.106186ms
error: 0.000315062


n: 128
time: 209.196091ms
error: 7.70483e-05


n: 256
time: 210.784912ms
error: 1.90444e-05


n: 512
time: 232.944012ms
error: 4.73371e-06


n: 1024
time: 318.224907ms
error: 1.17999e-06


n: 2048
time: 704.819918ms
error: 2.94568e-07


n: 4096
time: 2308.312893ms
error: 7.35881e-08


n: 8192
time: 8013.218164ms
error: 1.83903e-08


n: 16384
time: 32921.152115ms
error: 4.59673e-09


t: 45
n: 16
time: 205.338955ms
error: 0.00565282


n: 32
time: 204.421043ms
error: 0.00131357


n: 64
time: 206.022024ms
error: 0.000315062


n: 128
time: 208.626032ms
error: 7.70483e-05


n: 256
time: 212.985039ms
error: 1.90444e-05


n: 512
time: 230.454922ms
error: 4.73371e-06


n: 1024
time: 342.734098ms
error: 1.17999e-06


n: 2048
time: 804.893017ms
error: 2.94568e-07


n: 4096
time: 2317.304850ms
